,clientId,channelGrouping,date,visitNumber,visitId,hitNumber,hour,minute,campaign,medium,keyword,city,pagePath,eventCategory,eventAction,eventLabel,v2ProductName,v2ProductCategory
693,1237293082.1560798597,Direct,20190617,1,1560798597,80,21,13,(not set),(none),(not set),Lyon,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 10,"Hopi, the Hummingbird Ring",Jewelry
694,1182584667.1564246436,Email,20190813,2,1565708072,7,16,55,SUMMER LOVE IN PARIS_FR_2019_August,email,SUMMER LOVE IN PARIS_FR_2019_August,Nanterre,/fr_fr/les-creations/joaillerie/quatre.html,Client services,Chat intention,Init by operator,,
695,621358267.1560667958,Paid Search,20190616,1,1560667958,51,8,56,[Search] [FR] Marque - Joaillerie,cpc,+boucheron +bague,Marseille,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 8,Serpent Bohème Bracelet Pompon,Jewelry
696,1273018400.1556947732,Paid Search,20190504,2,1556948184,44,7,46,[Search] [FR] Marque - Horlogerie,cpc,+boucheron +montre,Marseille,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 20,"Cypris, the swan bracelet Diamonds",Jewelry
697,1273018400.1556947732,Paid Search,20190504,2,1556948184,73,8,6,[Search] [FR] Marque - Horlogerie,cpc,+boucheron +montre,Marseille,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 9,EPURE TOURBILLON FAUCON,Watches
698,1736203468.1547223524,Paid Search,20190111,1,1547223530,26,17,27,[Search] [FR] Marque - Brides,cpc,boucheron alliance,Villeurbanne,/fr_fr/les-creations/haute-joaillerie/nature-triomphante.html,Video,Nature_TriomphanteFR - 50%,/fr_fr/les-creations/haute-joaillerie/nature-triomphante.html,,
699,1887800860.1569310782,Paid Search,20190924,1,1569310783,24,9,40,[Search] [FR] Generic - Joaillerie,cpc,joaillier,Paris,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 9,EPURE TOURBILLON FAUCON,Watches
700,1504888744.1556647672,Paid Search,20190430,1,1556647672,71,20,9,[Search] [FR] Marque,cpc,+boucheron,Lyon,/fr_fr/les-creations/joaillerie/serpent-boheme.html,E-commerce,Product impression,Product Impression 8,Serpent Bohème Ring S Motif,Jewelry
701,2058196266.1547155948,Paid Search,20190110,1,1547155948,6,22,32,[Search] [FR] Generic - Horlogerie,cpc,+montres +femmes,Saint-Pee-sur-Nivelle,/fr_fr/les-creations/horlogerie/reflet.html,Video,reflet - Pause,/fr_fr/les-creations/horlogerie/reflet.html,,
702,2058196266.1547155948,Paid Search,20190110,1,1547155948,29,22,36,[Search] [FR] Generic - Horlogerie,cpc,+montres +femmes,Saint-Pee-sur-Nivelle,/fr_fr/les-creations/horlogerie/reflet.html,Video,reflet - 0%,/fr_fr/les-creations/horlogerie/reflet.html,,
703,167614694.1556116337,Paid Search,20190424,1,1556116338,45,16,40,[Search] [FR] Marque,cpc,Place Vendôme,Amberieu-en-Bugey,/fr_fr/les-creations/haute-joaillerie/hiver-imperial.html,Video,Reached 75%,hiver-imperial,,
704,1006979663.1561191152,Paid Search,20190622,1,1561191151,63,10,18,[Search] [FR] Marque,cpc,boucheron,Thionville,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 11,IRIS de Syracuse,Accessories
705,1460857219.1562022542,Paid Search,20190702,2,1562022627,45,1,17,[Search] [FR] Marque,cpc,boucheron,Cannes,/fr_fr/les-creations/mariage-fiancailles/alliances/alliance-facette-or-rose-et-diamants.html,Product,Get to product details,More detail,,
706,1562339738.1559572214,Paid Search,20190619,3,1560947832,18,14,38,[Search] [FR] Reference - Quatre,cpc,quatre boucheron,Paris,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 19,Pivoine Stud Earrings,Jewelry
707,1856543365.1562430018,Paid Search,20190706,1,1562430018,52,18,23,[Search] [FR] Marque,cpc,+boucheron,(not set),/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 8,Serpent Bohème Ring L Motif,Jewelry
708,1181031488.1524209457,Paid Search,20190630,3,1561913626,43,18,56,[Search] [FR] Reference - Quatre,cpc,bague 4 boucheron,Paris,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 9,Vendôme Chromatique Bracelet,Jewelry
709,1144192226.1561550671,Paid Search,20190626,1,1561550672,76,14,14,[Search] [FR] Marque - Joaillerie,cpc,boucheron joaillerie,Paris,/fr_fr/les-creations/joaillerie/pendentifs/pendentif-pompon-or-rose.html,Product,Get to product details,More detail,,
710,1977606669.1557943156,Paid Search,20190603,4,1559574262,32,17,6,[Search] [FR] Marque,cpc,+boucheron,Fontenay-sous-Bois,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 20,Quatre Classique Large Ring,Jewelry
